Loaded 400 images in 0 seconds
Trainning 120 images.

Trained Eigenfaces model in 4 seconds
Trained Fisherfaces model in 5 seconds
Trained LBPH model in 5 seconds

Testing 280 different images.

                    Class   Eigen           Conf  Fisher           Conf    LBPH           Conf
                       12       -        2402.88       -        1256.65       -        48.9463
                       12       -         2698.7       -        961.718       -        43.9137
                       12       -        3240.05       0        1844.25      25        76.7997
                       12       -        3043.51       -        1891.58      25        64.3559
                       12       -        2544.37       -        969.625       -        43.7687
                       12       -        795.593       -        412.638       -        27.2954
                       12       -        1607.85       -        879.763       -         34.012
                       16       -        1873.55       -        909.528       -        35.6826
                       16       -        1514.03       -        961.603       -        32.7769
                       16       2        3069.73       -        1672.38       -         51.967
                       16       2        3124.99       -        1722.57      37        49.3142
                       16       -        1625.42       -        917.259       -        34.4191
                       16       -        2331.69       -         1398.6       5        54.3815
                       16       -        2233.87       -        1351.32       -        38.9996
                       31       -        2352.15       -        1262.63       -        42.4124
                       31       -        3016.78       -        1175.82       -         41.213
                       31       -        1810.53       -        1261.47       -        35.6969
                       31       -        2632.73       4        1764.21       -        42.9537
                       31       -        1829.21       -        1028.45       -        38.0046
                       31       -        2825.86       -        1232.29       -        42.9057
                       31       -        3153.36       -        1416.56       -        44.3838
                        9      37         3363.3      22         2007.4       8        64.9653
                        9       -        2830.16       -        1448.26       -        44.6299
                        9       -        2493.84       -        883.388       -        46.0979
                        9       -        2962.31       -        1518.96       -        55.6939
                        9       3        3533.27       -        2084.97       3         56.337
                        9       -        1930.91       -        804.565       -        38.3932
                        9       -        2487.72       -        1530.02       -        59.6767
                       26       -        2205.92       -        1279.55       -        35.0796
                       26       -        2205.83       -        1119.83       -        37.5593
                       26       -        1524.11       -        1040.52       -        33.6022
                       26       -         1897.6       -        1007.49       -        33.4298
                       26       -        3366.13       -        1473.49       -        40.9199
                       26       -        1836.11       -        910.603       -        31.5892
                       26       -        2427.19       -        1075.47       -        39.0824
                        4       -        2127.99       -         1297.1      20        59.2992
                        4       -        1116.53       -        531.751       -        32.6431
                        4       -         1528.7       -        822.069       -        46.0374
                        4       -        1140.98       -        486.465       -        34.6436
                        4      17        2566.31       -        1432.17      20         54.222
                        4       -        2448.39       -        1470.66      29        65.0968
                        4       -        1449.95       -        648.756       -        34.5282
                       19       -        2428.52       -        1496.86       -        32.9301
                       19       -        2083.47       -        1147.48       -        36.4986
                       19       -         2048.2       -        963.297       -        35.1678
                       19       -        1000.29       -        530.462       -        31.4678
                       19       -        1475.36       -        1022.79       -        35.5895
                       19       -        2929.02       -         1741.5       -        36.8897
                       19       -           1511       -        984.019       -          34.55
                       29       -         1657.4       -        894.731       -        35.9369
                       29       -        2378.36       -        1430.69       4        58.1698
                       29       -        2018.98       -        1525.23       -        44.4202
                       29       -        1885.02       -        998.237       -        46.9281
                       29       -        1743.41       -        987.033       -        38.7095
                       29       -        1908.74       -        812.555       -        37.4186
                       29       -        1677.84       -        963.829       -        37.3091
                       38       -        2765.56       -        1495.38      20        57.5004
                       38       -        2719.92       -        1365.03      26        59.3637
                       38       -        2904.74       -        1823.57      22        79.8175
                       38      21        2901.81       -        1690.71      14        74.4356
                       38       -        2243.17       -        1377.67       -        52.4868
                       38       -        1302.34       -         593.35       -        31.6094
                       38       -        2135.84       -        1165.02       -        63.6316
                       34      39        3787.26       4        1924.58      18        93.3341
                       34      39        3277.39      39        1564.67      18        77.9928
                       34      14        3088.82      39        1850.05      39        85.3815
                       34       -        2342.38       -        1161.91       -        49.3633
                       34      39         3206.8      39        1979.67      30        67.7811
                       34       -        1922.58       -        1137.43       -        39.1528
                       34      39        3331.58      39        1873.53       -        71.1817
                       22       -        2032.91       -        1108.42       -        46.2159
                       22       -        3054.09       -        1511.09       -        58.4215
                       22       -         2730.4       -        1467.92       -        72.7418
                       22       -        836.966       -        491.777       -        31.2732
                       22       -        2722.42       -         1269.2       -        61.2452
                       22       -        925.217       -        492.619       -         30.634
                       22      37        2685.36       -        1417.83      37        52.2141
                        3       -        1729.04       -        853.274       -        32.2284
                        3       -        2623.03       -        1314.58       -        49.5973
                        3       -        2778.15       -        1158.68       -        48.5082
                        3       -        1390.41       -        748.255       -        33.5292
                        3       -        3096.34       -        1744.49       -        60.0381
                        3       -        2634.15       -        1142.34       -        51.7074
                        3       -        2614.78       -        1178.81       -        46.8238
                        8       -        2205.56       -        1307.51       -        48.1837
                        8       -        2511.78       -        1349.17       -        48.9111
                        8       -        1611.88       -        1035.47       -        37.9912
                        8       -        2383.79       -        1292.17       -        51.1312
                        8       -        2915.96       -        1258.12       -        56.3044
                        8       -        2627.44       -         1459.1      29        51.6308
                        8       -        2047.23       -        1354.02       -        37.9722
                       36      27        2618.29      27        1680.18      27        44.4708
                       36       -        1879.08       -        831.411       -        30.6237
                       36      27        2624.62      27         1730.5      27        44.4368
                       36       -        2206.12       -        1223.84       -        32.7613
                       36       -        2403.23       -        1549.72       -        41.8759
                       36       -        2509.59       -        1684.33       -        34.5298
                       36       -        2490.33       -        1632.53      27        44.1622
                       23       -         2694.9       -         1660.6       -        43.8484
                       23       -        2736.57       -        1371.69       -        44.6579
                       23       -         2907.5       -        1677.45       3         56.517
                       23       -         2753.2       -         1519.7       -        43.5513
                       23       -        2654.91       -        1533.42       -        45.1582
                       23       -        1623.14       -        878.664       -         50.336
                       23       -           1654       -        791.443       -        35.8083
                       18       7        3628.92       7         1909.5       -        67.8594
                       18       -        2661.31       -        1749.09       -        50.4886
                       18       -        1726.73       -        840.214       -        32.6425
                       18       -        2360.91       -        1487.14       -        46.6948
                       18       -        1953.46       -        939.739       -        33.4773
                       18       -         2539.4       -        1679.91       -        38.9144
                       18       -        1078.67       -        772.519       -        30.8234
                        7       -        2306.53       -        1139.78       -        60.0397
                        7       -        2094.96       -        1119.12       -        31.9626
                        7       -         1487.7       -        822.876       -        30.0832
                        7       -        2032.42       -        1066.18       -        59.9509
                        7       -        2205.72       -        1259.03       -        52.3753
                        7       -        2405.27       -        1347.14       -        39.8434
                        7       -         1194.7       -        714.458       -        34.6075
                       20       -        1758.56       -        931.073       -        39.1908
                       20       -        2163.36       -        1278.29       -        36.0985
                       20       -        1579.68       -        1177.97       -        36.3986
