Loaded 400 images in 0 seconds
Trainning 280 images.

Trained Eigenfaces model in 34 seconds
Trained Fisherfaces model in 38 seconds
Trained LBPH model in 13 seconds

Testing 120 different images.

                    Class   Eigen           Conf  Fisher           Conf    LBPH           Conf
                       12       -        1372.55       -        357.121       -        35.1242
                       12       -          995.3       -        299.522       -        27.2954
                       12       -         1857.8       -        548.861       -         34.012
                       16       -        1873.26       -        641.941       -        34.4191
                       16       -        2325.73       -         694.84       -        43.4735
                       16       -        1582.47       -        672.112       -        31.3924
                       31       -        2147.17       -         595.56       -         36.374
                       31       -        2733.63       -        799.452       -        42.9057
                       31       -        2723.21       -        948.119       -        39.1406
                        9      37         3602.9       -         1222.6       3         56.337
                        9       -        2095.89       -        448.275       -        38.3932
                        9       -        2789.87       -         909.43       -        59.3496
                       26       -        2819.03       -        683.048       -         34.274
                       26       -        1572.17       -        415.697       -        31.5892
                       26       -        1537.21       -        468.655       -        30.0698
                        4      39        2401.41       -        896.592      39        47.9944
                        4       -        1556.63       -        627.535       -        37.1586
                        4       -        1135.83       -        340.387       -        30.9555
                       19       -        1764.38       -        690.375       -        35.5895
                       19       -        2125.35       -         781.61       -        32.0877
                       19       -        1780.97       -        715.745       -          34.55
                       29       -        1895.41       -        571.915       -        38.7095
                       29       -        1873.07       -        427.047       -        37.4186
                       29       -        1858.27       -        476.218       -        37.3091
                       38       -        2488.47       -         913.62      29        52.3153
                       38       -        1505.23       -         487.05       -        31.6094
                       38       -        2316.28       -        982.934       -        63.6316
                       34       -        2752.89       -        1136.19       -        51.9256
                       34       -        2120.81       -        638.616       -        39.1528
                       34      39         3523.6       4        1173.48       -        64.7748
                       22       -        2319.85       -        805.592       -        61.2452
                       22       -        1106.84       -        303.178       -         30.634
                       22       -        2706.78       -        796.478      37        52.2141
                        3       -        2051.81       -        819.533       -        45.0254
                        3       -           1438       -        383.509       -         33.034
                        3       -         2233.6       -        698.343       -        39.0725
                        8       -        2476.21       -        794.583       -        46.5543
                        8       -        2239.37       -        802.566       -        45.0128
                        8       -        1614.59       -        404.703       -        37.9722
                       36       -        1946.96       -        717.193       -        33.6763
                       36       -        2629.96       -        1099.08       -        34.5298
                       36       -        1580.02       -        423.943       -        31.5739
                       23       -        2008.48       -        608.377       -        34.8877
                       23       -        1761.43       -        653.305       -         50.336
                       23       -        1818.11       -        336.518       -        35.8083
                       18       -        2152.58       -         559.06       -        33.4773
                       18       -        2527.31       -        773.889       -        37.4228
                       18       -        1265.54       -        440.426       -        30.8234
                        7       -        1976.65       -        574.175       -        47.7928
                        7       -        1597.59       -        507.086       -        30.5206
                        7       -        1446.83       -        505.457       -        34.6075
                       20       -        2178.68       -        462.924       -        35.9474
                       20       -        2314.05       -        904.127       -        43.9607
                       20       -        2303.82       -        578.765       -        42.8902
                        0       -        3415.41      24        1066.19       -        66.3044
                        0       -        3307.09      23        1153.35       -        70.1676
                        0       -        3250.31      23        1148.65       -        46.6096
                        6       -        2630.29       -         807.04       -        38.0216
                        6       -        2073.66       -        875.079       -        31.9717
                        6       -        2140.85       -        381.932       -        32.2168
                       15       -        2405.87       -        677.348       -        33.3647
                       15       -        3364.31      24        1185.12       -        52.1827
                       15       -        3267.73       -        762.964       -        45.2658
                       35       -        3166.83       -         1074.8       -         45.413
                       35       -         2066.6       -        691.005       -        33.4563
                       35       -        2526.56       -        644.419       -        34.9172
                       24       -        1752.97       -        417.036       -        35.6993
                       24       -         2129.7       -        707.477       -        46.6094
                       24       -        1927.74       -         545.28       -        34.9071
                       13       -        3277.57       -        1207.51       -        41.4548
                       13       -        2085.49       -        738.346       -        32.6155
                       13       -         2231.4       -        746.184       -        35.8704
                       33       -        1342.51       -        416.771       -        30.3217
                       33       -        1471.41       -        464.725       -         29.691
                       33       -        2021.31       -        522.125       -        34.3644
                       10       -        2584.64       -        672.033       -        37.5627
                       10       -        2704.18       -        1029.77       -        35.0641
                       10       -        2336.15       -        495.338       -        32.5485
                       25       -        2138.55       -         532.46       -        40.6044
                       25       -        1911.91       -        592.764       -        40.9973
                       25       -        2185.77       -        579.194       -        37.7962
                       17       -        2309.13       -        663.117       -        34.3997
                       17       -        1888.12       -        334.056       -        35.8318
                       17       -        1945.79       -        698.949       -         41.186
                       28       -        2157.76       -        382.832       -         42.381
                       28       -        2542.99       -        746.049       -        51.6672
                       28       -        1795.87       -        397.857       -        40.9123
                       32       -        725.975       -        274.082       -        32.4563
                       32       -        2857.69      22        1092.68       -        49.8965
                       32       -        2545.46       -        703.413       -        42.7415
                       11       -        1826.97       -        365.214       -        36.6458
                       11       -        2593.54       -        815.264       -        38.7688
                       11       -        2786.75       -        626.728       -        43.2975
                        5       -        1307.38       -        258.294       -        29.9317
                        5       -        1966.57       -        473.983       -        48.1866
                        5       -        1543.99       -        483.041       -        34.6523
                       21       -        1927.15       -        815.953       -         39.648
                       21       -        1890.27       -        654.281       -        33.6154
                       21       -        1754.98       -        326.512       -        34.0117
                       14       -        1663.87       -        442.678       -        36.8986
                       14       -        2844.02       -        902.571       -        41.2435
                       14       -        1330.75       -        403.386       -        33.7043
                        1       -         1908.5       -        530.131       -        28.7499
                        1       -        1517.86       -        283.697       -        31.7083
                        1       -        2138.05       -        629.121       -        34.6283
                       30       -        2264.22       -        840.346       -        38.2119
                       30       -        2264.44       -        956.216       -        41.4544
                       30       -        2273.04       -        1024.17       -        43.6065
                       27       -        2717.51       -        1227.59       -        46.6699
                       27      36        3159.93       4        1135.13      38        71.1482
                       27       -        1253.88       -        504.037       -        28.8982
                       39       -        2527.01       -        961.165       -        44.6843
                       39       -         2061.3       -        564.449       -         41.884
                       39       -        2651.72       -        781.681       -         45.744
                        2       -        1758.45       -        587.387       -        33.9635
                        2       -        1624.92       -        447.169       -        31.4382
                        2       -        2495.22       -        448.239       -        44.2737
                       37       -        1579.78       -        666.357       -        33.2797
                       37       -        2621.88       -         766.02       -        47.3446
                       37       -        1752.38       -        426.047       -        36.8542
Tested in 28 seconds

Right predictions EigenFaces: 116, 96.6667%
Right predictions FisherFaces: 113, 94.1667%
Right predictions LBPH: 115, 95.8333%
