Loaded 400 images in 0 seconds
Trainning 80 images.

Trained Eigenfaces model in 2 seconds
Trained Fisherfaces model in 1 seconds
Trained LBPH model in 3 seconds

Testing 320 different images.

                    Class   Eigen           Conf  Fisher           Conf    LBPH           Conf
                       12      17        2789.13      17        2143.77       -        63.7079
                       12       -        2790.27       -        2186.98       3        57.9296
                       12       -        2563.11       -        1840.57       -        43.9137
                       12       -        3111.27      17        2327.39      25        76.7997
                       12       -        2916.27      17        2408.35      25        64.3559
                       12       -        2392.38       -        1724.05       -        43.7687
                       12       -          724.3       -        441.202       -        27.2954
                       12       -        1550.37       -        1109.32       -         34.012
                       16       -        2213.11       -        1877.57       -        38.3881
                       16       -        1670.11       -        1459.44       -        39.0356
                       16       -        1437.07       -        1079.76       -        32.7769
                       16       8        3249.88      22        2112.56       -         51.967
                       16      37        3096.51      22        2015.44      37        49.3142
                       16       -        1446.71       -        1196.77       -        34.4191
                       16       -        2510.15       -        2200.72      29        55.7215
                       16       -        2071.39       -        1562.93       -        38.9996
                       31       -         3279.6       4        2614.53      10        53.4219
                       31       1        3488.91      14        2801.25      27        50.5447
                       31       -        2842.36       4        2404.83      21        51.7808
                       31       -        1706.54       -        1721.79       -        35.6969
                       31       -        2531.79       4        2306.07       -        42.9537
                       31       1        3337.52      14        2818.74      10        53.1231
                       31       -        2684.09       -        2416.77       -        42.9057
                       31       -        3004.86       -        2556.89      21        56.4692
                        9       -        2317.67       -        2047.04       -        48.3304
                        9       -        3396.38      29        2607.98       8        64.9653
                        9       -           2765       -        2036.65       -        44.6299
                        9       -         2410.2       -        1875.89       -        46.0979
                        9       -        2837.84       -        2382.09       -        55.6939
                        9       3        3419.55       3        2470.72       3         56.337
                        9       -        1768.24       -        1295.25       -        38.3932
                        9       -        2238.11       -        1906.73       -        59.6767
                       26       -        3045.08      24        2661.38       -        44.7571
                       26       -         3121.5      29        2500.25       -        47.1802
                       26       -        2080.64       -        1983.24       -        37.5593
                       26       -        1420.43       -        1361.52       -        33.6022
                       26       -         1793.9       -        1784.74       -        33.4298
                       26       -        3224.78       -        2531.04       -        40.9199
                       26       -         2534.2       -        2307.25       -        39.9066
                       26       -        2315.49       -        2262.32       -        39.0824
                        4       -        2637.26       -        1482.91       2        58.7192
                        4       -        2995.97       -        1753.72      20        59.2992
                        4       -        2668.09       -        1437.71       -        53.3711
                        4       -        1476.96       -        883.541       -        46.0374
                        4       -        942.864       -        626.224       -        34.6436
                        4      39        2878.73      39        1958.31      20         54.222
                        4       -        3040.03       -        1888.68      20        68.7127
                        4       -        1184.36       -        775.831       -        39.5056
                       19      28        3045.92      28        2550.55       -        59.9008
                       19       -        2256.71       -        2087.55       -        32.9301
                       19       -        1970.57       -        1757.69       -        36.4986
                       19       -        1943.21       -        1467.05       -        35.1678
                       19      28        3060.16      28        2575.54      21        61.8313
                       19       -        1362.62       -           1114       -        35.5895
                       19       -        2737.33       -        2385.89       -        36.8897
                       19       -        1415.06       -        1188.96       -          34.55
                       29       -        1861.56       -        1066.62       -        43.3347
                       29       -        2245.02       -        1409.61       -        42.2514
                       29       -        2360.65       -         1686.2       8        58.3789
                       29       -        1935.87       -        1448.16       -        44.4202
                       29       -        1904.48       -        1166.36       -        46.9281
                       29       -        1605.18       -        1049.55       -        38.7095
                       29       -        1782.08       -        1176.55       -        37.4186
                       29       -        1576.83       -        989.168       -        37.3091
                       38      21        3216.31      28           2241       4         60.749
                       38       -        2659.68      14        2184.27      20        57.5004
                       38       -        2619.16       -        2083.76      26        59.3637
                       38       -         3069.7      20        2471.73      14        81.3724
                       38       -         3057.7       -        2473.96      14        74.4356
                       38      21        3026.09      28        2348.77      20        54.6418
                       38       -        1227.75       -        940.636       -        31.6094
                       38       -        2043.11       -        1486.09       -        63.6316
                       34       -        2341.81       -        2076.04       -        43.0852
                       34      39        3546.44      39        2482.89      18        96.6215
                       34      39        3074.22      39        2063.41      12        84.7218
                       34      14        2883.31      14        2244.49      39        85.3815
                       34       -        2245.98       -        1916.26       -        49.3633
                       34      39         3046.1      14        2382.51      24        77.6819
                       34       -        2516.24       -        2024.84      24        61.3121
                       34       4         3346.8       4        2547.58       -        71.1817
                       22       -        1741.03       -         1439.6       -         66.022
                       22       8        2758.84       -        2220.01       8        61.5828
                       22       -        3010.17       -        2054.83       -        58.4215
                       22       -        2662.01       -        2254.39       -        72.7418
                       22       -        1976.59       -        1631.04       -        72.6442
                       22       -        2619.22       -        1917.53       -        61.2452
                       22       -        859.913       -        549.116       -         30.634
                       22      37        2600.31      37        2145.53      37        52.2141
                        3       -        3043.16       -        2095.32      12        57.6808
                        3       -        1630.13       -        1237.75       -        32.2284
                        3       -        2513.69       -        1888.52       -        49.5973
                        3       -        2824.18       -        1810.11       8        60.7499
                        3       -        1336.79       -        936.743       -        33.5292
                        3       -        2979.74      22        2176.05       -        60.0381
                        3       -        2475.49       -        1603.05       -        53.3217
                        3       -        2523.61       -        1723.83       -        46.8238
                        8       -        1472.41       -        1037.43       -        38.5715
                        8       -        2078.12       -        1609.96       -        48.1837
                        8       -        2445.87       -        1702.35       -        48.9111
                        8       -        1522.21       -        1211.32       -        37.9912
                        8       -         2294.2       -        1703.49       -        51.1312
                        8       -        2869.09       -        1872.54       -        56.3044
                        8       -        2710.22       -        2141.75       -        53.7513
                        8       -        1898.54       -        1674.36       -        37.9722
                       36       -        1689.24       -        1707.37       -        32.4016
                       36       -        2645.09      25        1963.45       -        50.6652
                       36       -        1700.08       -         1591.4       -        30.6237
                       36       -        2832.42      25        2043.17       -        50.8836
                       36       -        2087.53       -        2051.96       -        32.7613
                       36       -         2325.5      25        1956.87       -        41.8759
                       36       -        2543.01       4        2506.56       -        34.5298
                       36       -        2386.07      25        1916.33       -         44.314
                       23       -        1434.36       -        1134.63       -        35.9447
                       23       -        2619.67       -        1760.55       -        43.8484
                       23       -        2610.86       -        1785.81       -        44.6579
                       23       -        2819.28       -        2061.49      10        65.0099
                       23       -        2689.42       -        1969.31       -        43.5513
                       23       -        2506.02       -        1890.26       -        45.2229
                       23       -        2165.13       -        1632.62       -        52.9681
                       23       -        1576.08       -        902.471       -        35.9647
                       18       -        2435.28       -        1938.77       -        40.9023
                       18      15        3589.99      39        2715.41       -        67.8594
                       18       -        2528.63       -        2280.97       -        50.4886
                       18       -        1509.23       -        1171.04       -        32.6425
                       18       -        2285.21       -        2013.28       -        46.6948
                       18       -        1772.58       -        1307.04       -        33.4773
                       18       -        2373.83       -        2246.47       -        38.9144
                       18       -         1001.2       -        921.076       -        30.8234
                        7       -        2994.41       -        1980.89       -        55.0452
                        7       -        2608.13       -        1950.29       -        60.0397
                        7       -         3345.7       -        2446.45       -        50.9614
                        7       -        2764.88       -        1904.51       -        58.0978
                        7       -        1923.82       -        1589.07       -        59.9509
                        7       -        3207.38       -        2190.18       -        70.1856
                        7       -        3358.05       -        2351.54       -        59.0534
                        7       -        1082.87       -        781.182       -        34.6075
                       20       -        2606.28      22        2075.77       3        56.0482
                       20       -        2527.33       -        1869.38       3        51.9343
                       20       -        2462.27       -        1927.74      39        50.1632
                       20       -        1465.72       -        1183.18       -        36.3986
                       20       -        2396.15       -        1856.55      39        49.7651
                       20       -        1809.76       -        1206.96       -        35.9474
                       20       -        1997.96       -        1149.18       -        44.0966
                       20       -        2264.97       -        1743.39       8        54.4044
                        0       -        3099.48       -        2446.19      12        59.2365
                        0       -        3324.74       -        2585.15       -        89.6299
                        0       -        3255.41       -        2072.86       -        66.7342
                        0       -        3442.65      23        2450.44       -        54.7809
                        0       -        3738.22       -        2534.64       -        67.9383
                        0      15        3309.48      15        2401.47      16        78.6448
                        0       -        3696.21      39         2821.4      17        73.1181
                        0       -        2987.23      23        1978.06      23        53.9624
                        6       -         1973.7       -         1758.3       -        35.2811
                        6       -         1540.4       -        1310.74       -        31.4351
                        6       -        2748.53       -        2192.23       -        40.4735
                        6       -        1541.26       -        1421.92       -         35.044
                        6       -        2815.72       -        2129.05       -        40.1712
                        6       -        2320.95       -        1727.76       -        38.0216
                        6       -         1702.4       -        1606.43       -        31.9717
                        6       -        1952.99       -        1756.75       -        34.1678
                       15       -        3228.42      29        2719.52      18        69.3956
                       15       -        3089.24       -        2170.49       -         45.729
                       15       -        4038.69       -        2636.81       -        56.4506
                       15       -        2049.21       -         1785.4       -        44.5327
                       15      12        4200.05      39         2917.5       -        57.1551
                       15       -        2215.77       -        1761.73       -        53.8632
                       15       -        3488.48      24        2702.13      21        61.4483
                       15       -        3141.46       -        2286.44       -        51.0548
                       35       -        1922.42       -        1622.63       -        39.8622
                       35       -        3218.51      39        2618.13       3        50.3638
                       35       6        3188.54       6        2467.18       6         55.795
                       35       -        3271.31      20        2783.53       6        57.3795
                       35       6        3233.68      22        2766.71       6        60.3737
                       35       -        3288.74      25           2721      21        49.4752
                       35       6        3098.13      20        2653.74       6        58.0102
                       35       6        3372.93       6        2634.89      17        56.9527
                       24       -        1694.75       -        1136.59       -        40.7231
                       24       -        1617.11       -        984.521       -        37.9334
                       24       4        2330.47       4        1940.07       4        75.2551
                       24       -        1572.78       -         1104.7       -         37.859
                       24       4        2772.92       -        1872.36      39        68.6527
                       24       -        1909.43       -        1236.54       -        45.4458
                       24       4        2597.17       4        2053.73       4        71.2954
                       24       -        1720.15       -        1280.82       -        34.9071
                       13       -        2939.79      25        2631.22       -        41.2404
                       13       -         3256.3      25        2725.93      10        48.3596
                       13       -         2862.4       -        2623.96       -        38.3396
                       13       -        753.133       -        749.302       -        27.5827
                       13       -        2685.25       -        2684.12       -        36.7657
                       13       -        3366.83      36        2823.58       -        44.3708
                       13       -        1683.02       -        1624.09       -        32.6155
                       13       -         2068.9       -        2061.63       -        40.8465
                       33       -        2029.63       -        2119.94       -        32.8242
                       33       -        2564.81      29         2237.6       -        36.2381
                       33       -        1596.99       -        1399.36       -        33.0923
                       33       -        570.964       -        520.557       -        29.2141
                       33       -        2242.69       -        1994.01       -        36.4066
                       33       -        2645.92      29        2292.57       -         38.705
                       33       -        2257.91       -        2156.82       -        34.1643
